Country,Location_Type,MT,Cost Centre,Grade,Jan_HC,Feb_HC,Mar_HC,Apr_HC,May_HC,Jun_HC,Jul_HC,Aug_HC,Sep_HC,Oct_HC,Nov_HC,Dec_HC,Jan_Budget,Feb_Budget,Mar_Budget,Apr_Budget,May_Budget,Jun_Budget,Jul_Budget,Aug_Budget,Sep_Budget,Oct_Budget,Nov_Budget,Dec_Budget,Dec_Variance
UAE,Onshore,CIB,CIB_UAE_1000,B5,1,2,2,1,1,3,1,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
US,Onshore,CIB,CIB_US_1000,B5,2,4,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
SG,Onshore,Risk,Risk_SG_1000,B7,5,5,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
CN,Onshore,WRB,WRB_CN_1000,B7,2,2,1,2,3,3,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
GBS IN,Offshore,CIB,CIB_GBS IN_1000,B6,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
HK,Onshore,T&O,T&O_HK_1000,B7,2,2,3,1,3,3,3,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,S&T,S&T_SG_1000,B6,3,3,3,3,2,2,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
GBS IN,Offshore,T&O,T&O_GBS IN_1000,B5,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,T&O,T&O_SG_1000,B7,4,4,3,4,4,3,2,2,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
CN,Onshore,S&T,S&T_CN_1000,B5,3,2,1,3,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
UK,Onshore,WRB,WRB_UK_1000,B6,4,2,2,2,2,3,4,3,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
HK,Onshore,T&O,T&O_HK_1001,B6,3,3,3,1,2,3,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
UAE,Onshore,CFCR,CFCR_UAE_1000,B6,4,3,4,4,4,3,3,5,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
SG,Onshore,T&O,T&O_SG_1001,B6,3,1,3,1,3,2,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
GBS IN,Offshore,WRB,WRB_GBS IN_1000,B4,3,5,4,5,4,4,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
US,Onshore,CIB,CIB_US_1001,B4,3,4,3,3,4,5,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0
US,Onshore,T&O,T&O_US_1000,B5,4,2,4,4,3,3,2,4,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,WRB,WRB_UK_1001,B4,6,4,6,5,5,4,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
HK,Onshore,WRB,WRB_HK_1000,B5,2,3,3,3,1,3,1,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
HK,Onshore,Risk,Risk_HK_1000,B6,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,T&O,T&O_SG_1002,B4,2,4,3,3,3,4,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
CN,Onshore,T&O,T&O_CN_1000,B6,2,1,2,3,1,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
UAE,Onshore,Risk,Risk_UAE_1000,B5,5,3,3,5,3,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
SG,Onshore,T&O,T&O_SG_1003,B6,3,4,3,3,5,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
HK,Onshore,GCFO,GCFO_HK_1000,B7,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SG,Onshore,S&T,S&T_SG_1001,B6,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,WRB,WRB_US_1000,B6,3,3,2,2,4,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1000,B4,3,4,3,5,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
SG,Onshore,T&O,T&O_SG_1004,B5,4,4,3,4,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,S&T,S&T_UK_1000,B6,5,3,5,4,5,5,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UK,Onshore,GCFO,GCFO_UK_1000,B6,1,2,1,2,3,1,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
CN,Onshore,T&O,T&O_CN_1001,B7,5,5,4,5,5,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
GBS IN,Offshore,Risk,Risk_GBS IN_1000,B5,2,1,1,2,1,2,1,3,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
HK,Onshore,S&T,S&T_HK_1000,B6,2,4,2,2,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
