Country,Grade,Annual_Rate_USD,Monthly_Rate_USD
SG,MD,400000,33333.33
SG,B4,300000,25000.0
SG,B5,220000,18333.33
SG,B6,120000,10000.0
SG,B7,80000,6666.67
HK,MD,400000,33333.33
HK,B4,300000,25000.0
HK,B5,220000,18333.33
HK,B6,120000,10000.0
HK,B7,80000,6666.67
US,MD,400000,33333.33
US,B4,300000,25000.0
US,B5,220000,18333.33
US,B6,120000,10000.0
US,B7,80000,6666.67
UK,MD,380000,31666.67
UK,B4,285000,23750.0
UK,B5,209000,17416.67
UK,B6,114000,9500.0
UK,B7,76000,6333.33
UAE,MD,340000,28333.33
UAE,B4,255000,21250.0
UAE,B5,187000,15583.33
UAE,B6,102000,8500.0
UAE,B7,68000,5666.67
CN,MD,200000,16666.67
CN,B4,150000,12500.0
CN,B5,110000,9166.67
CN,B6,60000,5000.0
CN,B7,40000,3333.33
IN,MD,200000,16666.67
IN,B4,150000,12500.0
IN,B5,110000,9166.67
IN,B6,60000,5000.0
IN,B7,40000,3333.33
GBS IN,MD,120000,10000.0
GBS IN,B4,90000,7500.0
GBS IN,B5,66000,5500.0
GBS IN,B6,36000,3000.0
GBS IN,B7,24000,2000.0
