Country,Grade,Annual_Rate_USD,Monthly_Rate_USD
Argentina,B7,36400,3033.33
Argentina,B6,54600,4550
Argentina,B5,100100,8341.67
Argentina,B4,136500,11375
Argentina,MD,182000,15166.67
Australia,B7,72800,6066.67
Australia,B6,109200,9100
Australia,B5,200200,16683.33
Australia,B4,273000,22750
Australia,MD,364000,30333.33
Bahrain,B7,61880,5156.67
Bahrain,B6,92820,7735
Bahrain,B5,170170,14180.83
Bahrain,B4,232050,19337.5
Bahrain,MD,309400,25783.33
Bangladesh,B7,27300,2275
Bangladesh,B6,40950,3412.5
Bangladesh,B5,75075,6256.25
Bangladesh,B4,102375,8531.25
Bangladesh,MD,136500,11375
Belgium,B7,72800,6066.67
Belgium,B6,109200,9100
Belgium,B5,200200,16683.33
Belgium,B4,273000,22750
Belgium,MD,364000,30333.33
Botswana,B7,27300,2275
Botswana,B6,40950,3412.5
Botswana,B5,75075,6256.25
Botswana,B4,102375,8531.25
Botswana,MD,136500,11375
Brazil,B7,36400,3033.33
Brazil,B6,54600,4550
Brazil,B5,100100,8341.67
Brazil,B4,136500,11375
Brazil,MD,182000,15166.67
Brunei,B7,61880,5156.67
Brunei,B6,92820,7735
Brunei,B5,170170,14180.83
Brunei,B4,232050,19337.5
Brunei,MD,309400,25783.33
Cambodia,B7,27300,2275
Cambodia,B6,40950,3412.5
Cambodia,B5,75075,6256.25
Cambodia,B4,102375,8531.25
Cambodia,MD,136500,11375
China Onshore,B7,36400,3033.33
China Onshore,B6,54600,4550
China Onshore,B5,100100,8341.67
China Onshore,B4,136500,11375
China Onshore,MD,182000,15166.67
Colombia,B7,36400,3033.33
Colombia,B6,54600,4550
Colombia,B5,100100,8341.67
Colombia,B4,136500,11375
Colombia,MD,182000,15166.67
Côte d’Ivoire,B7,27300,2275
Côte d’Ivoire,B6,40950,3412.5
Côte d’Ivoire,B5,75075,6256.25
Côte d’Ivoire,B4,102375,8531.25
Côte d’Ivoire,MD,136500,11375
Egypt,B7,27300,2275
Egypt,B6,40950,3412.5
Egypt,B5,75075,6256.25
Egypt,B4,102375,8531.25
Egypt,MD,136500,11375
Falkland Islands,B7,72800,6066.67
Falkland Islands,B6,109200,9100
Falkland Islands,B5,200200,16683.33
Falkland Islands,B4,273000,22750
Falkland Islands,MD,364000,30333.33
France,B7,72800,6066.67
France,B6,109200,9100
France,B5,200200,16683.33
France,B4,273000,22750
France,MD,364000,30333.33
Germany,B7,72800,6066.67
Germany,B6,109200,9100
Germany,B5,200200,16683.33
Germany,B4,273000,22750
Germany,MD,364000,30333.33
Ghana,B7,27300,2275
Ghana,B6,40950,3412.5
Ghana,B5,75075,6256.25
Ghana,B4,102375,8531.25
Ghana,MD,136500,11375
Hong Kong,B7,72800,6066.67
Hong Kong,B6,109200,9100
Hong Kong,B5,200200,16683.33
Hong Kong,B4,273000,22750
Hong Kong,MD,364000,30333.33
India Onshore,B7,36400,3033.33
India Onshore,B6,54600,4550
India Onshore,B5,100100,8341.67
India Onshore,B4,136500,11375
India Onshore,MD,182000,15166.67
Indonesia,B7,27300,2275
Indonesia,B6,40950,3412.5
Indonesia,B5,75075,6256.25
Indonesia,B4,102375,8531.25
Indonesia,MD,136500,11375
Iraq,B7,61880,5156.67
Iraq,B6,92820,7735
Iraq,B5,170170,14180.83
Iraq,B4,232050,19337.5
Iraq,MD,309400,25783.33
Japan,B7,72800,6066.67
Japan,B6,109200,9100
Japan,B5,200200,16683.33
Japan,B4,273000,22750
Japan,MD,364000,30333.33
Jersey,B7,72800,6066.67
Jersey,B6,109200,9100
Jersey,B5,200200,16683.33
Jersey,B4,273000,22750
Jersey,MD,364000,30333.33
Kenya,B7,27300,2275
Kenya,B6,40950,3412.5
Kenya,B5,75075,6256.25
Kenya,B4,102375,8531.25
